FASE DE ANÁLISE|MARCA|NOME|Variação|Análise Rotular|PAM
5|Master Way Suplementos|Creatina|0,00%|REPROVADO|REPROVADO
5|Elemento Puro|Creadop Creapure|-0,30%|REPROVADO|REPROVADO
5|Euro Nutry|Creatine Powder 100%|-1,20%|REPROVADO|REPROVADO
2|DARK LAB|CREATINE|-1,90%|REPROVADO|REPROVADO
2|ADAPTOGEN|CREATINE|-2,10%|REPROVADO|REPROVADO
5|Pura Vida|Creatina Premium|-2,10%|REPROVADO|REPROVADO
5|Equaliv|Creatina Creapure|-2,99%|REPROVADO|REPROVADO
2|SOLDIERS NUTRITION|CREATINA|-3,10%|REPROVADO|REPROVADO
5|Atlhetica Nutrition|100% Creatine Flavour|-3,67%|REPROVADO|REPROVADO
2|GROWTH SUP|Monohidratada Creatine|-3,70%|REPROVADO|REPROVADO
3|BRUTHAL SPORTS|CREATINA|-3,90%|REPROVADO|REPROVADO
5|Iridium Labs|Atlas Creatina|-4,30%|APROVADO|APROVADO
1|Nutrata|Creatin UP|-4,30%|REPROVADO|REPROVADO
4|HERO|CREATINA|-9,40%|REPROVADO|REPROVADO
5|BLACK SKULL|CREATOR|-4,35%|APROVADO|APROVADO
5|BLACK SKULL|CREATINE|-4,45%|APROVADO|APROVADO
5|Espartanos|Creatina 100% Pure|4,60%|REPROVADO|REPROVADO
3|NUTREX RESEARCH|CREATINE DRIVE|-4,90%|REPROVADO|REPROVADO
3|NEW MILLEN|CREATINE ATP|-5,20%|REPROVADO|REPROVADO
3|LEADER NUTRITION|HI - CREATINA MICRONIZED|-5,30%|REPROVADO|REPROVADO
1|UNDER LABZ|CREATINE UNDER CRET|-5,40%|REPROVADO|REPROVADO
3|ADAPTOGEN|CREATINE SUPER|-6,00%|REPROVADO|REPROVADO
1|Wise Health|CREATINE MONOHYDRATE|-7,70%|REPROVADO|REPROVADO
1|SMART FIT SUPPS|CREATINA|-8,40%|REPROVADO|REPROVADO
4|TOP WAY|CREATINA|-9,30%|APROVADO|APROVADO
1|BLACK SKULL|Creatine Turbo (uva)|-10,00%|APROVADO|APROVADO
1|SHARK PRO|ENERGY CREATINA|-10,33%|REPROVADO|REPROVADO
1|AST Sports Science|MICRONIZED CREATINE|-10,70%|REPROVADO|REPROVADO
1|UNDERLABZ – NITRA FUZ|CREATINE FUZE|-10,90%|REPROVADO|REPROVADO
1|NEW MILLEN|CREATINA ATP|-11,00%|REPROVADO|REPROVADO
1|UNIVERSAL|CREATINE|-11,70%|REPROVADO|REPROVADO
5|Strongest Supplements|Micronized Creatine|-8,40%|REPROVADO|REPROVADO
5|Fisio Nutri|Strong Creatine 100% Pure|-12,20%|REPROVADO|REPROVADO
3|SYNTHE SIZE|CREATINA POWDER|-12,50%|REPROVADO|REPROVADO
1|EVOLUTION NUT.|REATINE ONE PURE|-13,40%|REPROVADO|REPROVADO
1|NUTRATA|Creatina 100%|-13,50%|REPROVADO|REPROVADO
2|PROFIT LAB|CREATINE MONOHYDRATE|-13,60%|REPROVADO|REPROVADO
1|VITAFOR|Creatine|-13,80%|APROVADO|APROVADO
5|Evorox Nutrition|Evo Creatine|-15,10%|REPROVADO|REPROVADO
1|MUKE|CREATINA SHOT DIÁRIO|-17,87%|REPROVADO|REPROVADO
4|CANIBAL INC.|CREATINA PLUS|-18,60%|REPROVADO|REPROVADO
1|FTW|CREATINA ULTRA|-20,17%|REPROVADO|REPROVADO
3|BODY ACTION|Creatine Double Force|-23,00%|REPROVADO|REPROVADO
5|Vitamax Nutrition|Creatine Booster|-23,67%|REPROVADO|REPROVADO
1|ADAPTOGEN|HD CRET|-24,32%|REPROVADO|REPROVADO
1|ABSOLUT NUTRITION|CREATINA FLAVOR|-32,33%|REPROVADO|REPROVADO
4|MUSCLE|FULL CREATINA|-32,70%|REPROVADO|REPROVADO
1|Absolut Nutrition|Creatina 100% Pure|-37,10%|REPROVADO|REPROVADO
4|PRO HEALTHY|CREATINE MICRONIZEZ|-43,30%|REPROVADO|REPROVADO
3|BODY ACTION WEB|CREATINE DUAL POWER|-46,20%|REPROVADO|REPROVADO
3|HEALTHY TIME|CREATINA POWDER|-53,00%|REPROVADO|REPROVADO
4|BODY NUTRY|CREATINA|-54,50%|REPROVADO|REPROVADO
2|R74 PRO HEALTHY|CREATINE|-55,70%|REPROVADO|REPROVADO
1|NITRO MAX|MAX CREATINA|-59,00%|REPROVADO|REPROVADO
5|Body Nutry Suplementos|Creatine Monohydrate|-86,70%|REPROVADO|REPROVADO
5|Natures Now Researches|Creatine Energy Now ATP|-96,80%|REPROVADO|REPROVADO
1|HEALTH LABS|CREATINA GOURMET|-100,00%|REPROVADO|REPROVADO
1|RAVENNA SPORTS|CREATINA MICRONIZED|-100,00%|REPROVADO|REPROVADO
4|IMPURE NUTRITION|CREATINA|-100,00%|REPROVADO|REPROVADO
5|NFT Nutrition|Creatina 100% Pura|-100,00%|REPROVADO|REPROVADO
5|Sun Food|Creatine Pure|-100,00%|REPROVADO|REPROVADO
5|Dymatrix Nutrition|Creatina Monohidrate|-100,00%|REPROVADO|REPROVADO
5|Iron Tech Sports Nutrition|Creatina Monohidratada|-100,00%|REPROVADO|REPROVADO
5|RED Bolic|Creatine Monster Maca Palatinose ZMA|-100,00%|REPROVADO|REPROVADO
5|Airomax|Creatine|-100,00%|REPROVADO|REPROVADO
5|Dark Dragon|Crea Delite|-100,00%|REPROVADO|REPROVADO
